orig_id,dest_id,orig_state_fips,orig_count_fips,orig_state_name,orig_count_name,dest_state_fips,dest_count_fips,dest_state_name,dest_count_name,filings,exemptions,income,year,cbsa_orig,cbsa_dest,dest_geocode,orig_geocode,Dest_FID,Dest_STATEFP10,Dest_COUNTYFP10,Dest_COUNTYNS,Dest_GEOID10,Dest_NAME10,Dest_NAMELSAD,Dest_Lat,Dest_Lon,Dest_Geo,Orig_FID1,Orig_STATEFP,Orig_COUNTYFP,Orig_COUNTYNS,Orig_GEOID10,Orig_NAME10,Orig_NAMELSAD,Orig_Lat,Orig_Lon,Orig_GEO
1_1,1_51,1,1,alabama,autauga,1,51,alabama,elmore,3760,764,10895,2010,3386,33860,1051,1001,2207,1,51,161551,1051,Elmore,Elmore County,32.59664789,-86.14914634,1051,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_101,1,1,alabama,autauga,1,101,alabama,montgomery,3750,715,10011,2010,3386,33860,1101,1001,2252,1,101,161577,1101,Montgomery,Montgomery County,32.22025794,-86.20761429,1101,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_21,1,1,alabama,autauga,1,21,alabama,chilton,63,149,1797,2010,3386,13820,1021,1001,2217,1,21,161536,1021,Chilton,Chilton County,32.84785313,-86.71881373,1021,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_73,1,1,alabama,autauga,1,73,alabama,jefferson,42,77,1201,2010,3386,13820,1073,1001,2140,1,73,161562,1073,Jefferson,Jefferson County,33.55431476,-86.89649028,1073,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_47,1,1,alabama,autauga,1,47,alabama,dallas,28,68,709,2010,3386,42820,1047,1001,2145,1,47,161549,1047,Dallas,Dallas County,32.32597454,-87.10647878,1047,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_125,1,1,alabama,autauga,1,125,alabama,tuscaloosa,28,45,822,2010,3386,46220,1125,1001,2172,1,125,161588,1125,Tuscaloosa,Tuscaloosa County,33.28954985,-87.52502995,1125,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,13_215,1,1,alabama,autauga,13,215,georgia,muscogee,28,52,548,2010,3386,17980,13215,1001,1673,13,215,357428,13215,Muscogee,Muscogee County,32.5099615,-84.87704106,13215,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_97,1,1,alabama,autauga,1,97,alabama,mobile,23,40,525,2010,3386,33660,1097,1001,2187,1,97,161575,1097,Mobile,Mobile County,30.68514691,-88.19752958,1097,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,1_117,1,1,alabama,autauga,1,117,alabama,shelby,23,42,844,2010,3386,13820,1117,1001,2148,1,117,161584,1117,Shelby,Shelby County,33.26427782,-86.66064863,1117,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
1_1,51_59,1,1,alabama,autauga,51,59,virginia,fairfax,20,80,2019,2010,3386,47900,51059,1001,1866,51,59,1480119,51059,Fairfax,Fairfax County,38.83472747,-77.2762378,51059,2153,1,1,161526,1001,Autauga,Autauga County,32.53492069,-86.64275725,1001
